structure,DFT-mod_SPE,DFT-mod_ForceRMS,DFT-mod_ForceMax,DFT-mod_G,DFT-mod_EHOMO,DFT-mod_ELUMO,DFT-mod_Gap,DFT-mod_charge_1,DFT-mod_charge_2,DFT-mod_charge_7,DFT-mod_charge_12,DFT-mod_charge_13,DFT-mod_charge_14,DFT-mod_charge_77,DFT-mod-gau-sp_SPE,DFT-mod-gau-sp_ForceRMS,DFT-mod-gau-sp_ForceMax,DFT-mod-gau-sp_G,DFT-mod-gau-sp_EHOMO,DFT-mod-gau-sp_ELUMO,DFT-mod-gau-sp_Gap,DFT-mod-gau-sp_charge_1,DFT-mod-gau-sp_charge_2,DFT-mod-gau-sp_charge_7,DFT-mod-gau-sp_charge_12,DFT-mod-gau-sp_charge_13,DFT-mod-gau-sp_charge_14,DFT-mod-gau-sp_charge_77,gauxtb-mod_SPE,gauxtb-mod_ForceRMS,gauxtb-mod_ForceMax,gauxtb-mod_G,gauxtb-mod_EHOMO,gauxtb-mod_ELUMO,gauxtb-mod_Gap,gauxtb-mod_charge_1,gauxtb-mod_charge_2,gauxtb-mod_charge_7,gauxtb-mod_charge_12,gauxtb-mod_charge_13,gauxtb-mod_charge_14,gauxtb-mod_charge_77,gauxtb-mod-gau-sp_SPE,gauxtb-mod-gau-sp_ForceRMS,gauxtb-mod-gau-sp_ForceMax,gauxtb-mod-gau-sp_G,gauxtb-mod-gau-sp_EHOMO,gauxtb-mod-gau-sp_ELUMO,gauxtb-mod-gau-sp_Gap,gauxtb-mod-gau-sp_charge_1,gauxtb-mod-gau-sp_charge_2,gauxtb-mod-gau-sp_charge_7,gauxtb-mod-gau-sp_charge_12,gauxtb-mod-gau-sp_charge_13,gauxtb-mod-gau-sp_charge_14,gauxtb-mod-gau-sp_charge_77,xtb-fixmod-gau-sp_SPE,xtb-fixmod-gau-sp_ForceRMS,xtb-fixmod-gau-sp_ForceMax,xtb-fixmod-gau-sp_G,xtb-fixmod-gau-sp_EHOMO,xtb-fixmod-gau-sp_ELUMO,xtb-fixmod-gau-sp_Gap,xtb-fixmod-gau-sp_charge_1,xtb-fixmod-gau-sp_charge_2,xtb-fixmod-gau-sp_charge_7,xtb-fixmod-gau-sp_charge_12,xtb-fixmod-gau-sp_charge_13,xtb-fixmod-gau-sp_charge_14,xtb-fixmod-gau-sp_charge_77,xtb-mod-gau-sp_SPE,xtb-mod-gau-sp_ForceRMS,xtb-mod-gau-sp_ForceMax,xtb-mod-gau-sp_G,xtb-mod-gau-sp_EHOMO,xtb-mod-gau-sp_ELUMO,xtb-mod-gau-sp_Gap,xtb-mod-gau-sp_charge_1,xtb-mod-gau-sp_charge_2,xtb-mod-gau-sp_charge_7,xtb-mod-gau-sp_charge_12,xtb-mod-gau-sp_charge_13,xtb-mod-gau-sp_charge_14,xtb-mod-gau-sp_charge_77,xtb-mod_SPE,xtb-mod_Grad,xtb-mod_Gap,xtb-mod_ELUMO,xtb-mod_EHOMO,xtb-mod_charge_1,xtb-mod_charge_2,xtb-mod_charge_7,xtb-mod_charge_12,xtb-mod_charge_13,xtb-mod_charge_14,xtb-mod_charge_77,xtb-fixmod_SPE,xtb-fixmod_Grad,xtb-fixmod_Gap,xtb-fixmod_ELUMO,xtb-fixmod_EHOMO,xtb-fixmod_charge_1,xtb-fixmod_charge_2,xtb-fixmod_charge_7,xtb-fixmod_charge_12,xtb-fixmod_charge_13,xtb-fixmod_charge_14,xtb-fixmod_charge_77,xtb-mod-xtb-sp_SPE,xtb-mod-xtb-sp_Grad,xtb-mod-xtb-sp_Gap,xtb-mod-xtb-sp_ELUMO,xtb-mod-xtb-sp_EHOMO,xtb-mod-xtb-sp_charge_1,xtb-mod-xtb-sp_charge_2,xtb-mod-xtb-sp_charge_7,xtb-mod-xtb-sp_charge_12,xtb-mod-xtb-sp_charge_13,xtb-mod-xtb-sp_charge_14,xtb-mod-xtb-sp_charge_77,xtb-fixmod-xtb-sp_SPE,xtb-fixmod-xtb-sp_Grad,xtb-fixmod-xtb-sp_Gap,xtb-fixmod-xtb-sp_ELUMO,xtb-fixmod-xtb-sp_EHOMO,xtb-fixmod-xtb-sp_charge_1,xtb-fixmod-xtb-sp_charge_2,xtb-fixmod-xtb-sp_charge_7,xtb-fixmod-xtb-sp_charge_12,xtb-fixmod-xtb-sp_charge_13,xtb-fixmod-xtb-sp_charge_14,xtb-fixmod-xtb-sp_charge_77
Xu01-1a-2a-major,-3015.237385,0.000001,0.000013,0.000000,-0.187050,-0.025721,-0.161329,-0.308016,0.645914,0.267469,-0.608403,0.028243,-0.546860,-0.306003,-3015.237385,0.000348,0.003780,0.000000,-0.187050,-0.025721,-0.161329,-0.308017,0.645914,0.267469,-0.608403,0.028242,-0.546859,-0.306003,-162.976865,0.000001,0.000007,0.000000,1.000000,6.000000,-5.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-3015.216463,0.005251,0.041494,0.000000,-0.190124,-0.032395,-0.157729,-0.376208,0.603009,0.230426,-0.587585,0.019145,-0.547432,-0.295654,-3015.215660,0.005278,0.044773,0.000000,-0.189478,-0.032139,-0.157339,-0.381895,0.606984,0.235623,-0.589914,0.020048,-0.546124,-0.301459,-3015.214892,0.005285,0.045463,0.000000,-0.189383,-0.032249,-0.157134,-0.399837,0.599949,0.236097,-0.587591,0.022899,-0.544982,-0.299939,-162.976303,0.000902,2.067520,-6.6871,-8.7547,-0.463783,0.090288,0.109907,-0.437967,0.067202,-0.066026,-0.044454,-162.976051,0.000294,2.070318,-6.6925,-8.7629,-0.459640,0.092936,0.110727,-0.438642,0.066375,-0.066665,-0.044489,-162.976344,0.016348,2.067518,-6.6871,-8.7547,-0.463782,0.090278,0.109910,-0.437971,0.067213,-0.066027,-0.044456,-162.976051,0.017057,2.070329,-6.6925,-8.7628,-0.459635,0.092939,0.110728,-0.438648,0.066377,-0.066659,-0.044493
Xu01-1a-2a-minor,-3015.234392,0.000003,0.000025,0.000000,-0.186790,-0.031436,-0.155354,-0.314546,0.645643,0.246370,-0.588560,0.031284,-0.558481,-0.259272,-3015.234392,0.000370,0.003042,0.000000,-0.186790,-0.031436,-0.155354,-0.314547,0.645644,0.246370,-0.588560,0.031284,-0.558480,-0.259273,-162.974680,0.000001,0.000016,0.000000,1.000000,6.000000,-5.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-3015.212013,0.004902,0.040606,0.000000,-0.187045,-0.037352,-0.149693,-0.458412,0.635939,0.226251,-0.578547,0.030238,-0.554431,-0.247960,-3015.212728,0.004962,0.038441,0.000000,-0.187262,-0.033596,-0.153666,-0.375482,0.631246,0.238497,-0.581468,0.024057,-0.552172,-0.254182,-3015.212489,0.004955,0.038209,0.000000,-0.187001,-0.034333,-0.152668,-0.373009,0.627187,0.237094,-0.580885,0.029321,-0.558076,-0.255935,-162.973503,0.000509,2.029228,-6.7293,-8.7586,-0.433923,0.108917,0.099743,-0.423199,0.076693,-0.070881,-0.061094,-162.973343,0.000367,2.025952,-6.7288,-8.7548,-0.432931,0.110114,0.100671,-0.424087,0.077596,-0.072048,-0.061053,-162.973563,0.020005,2.029255,-6.7293,-8.7586,-0.433919,0.108921,0.099745,-0.423202,0.076690,-0.070873,-0.061108,-162.973343,0.018967,2.025975,-6.7288,-8.7548,-0.432926,0.110119,0.100672,-0.424092,0.077595,-0.072036,-0.061066
Xu02-1a-2a-major,-3054.491259,0.000003,0.000026,0.000000,-0.189634,-0.029038,-0.160596,-0.271601,0.630783,0.243287,-0.603604,0.023989,-0.549647,0.181447,-3054.491260,0.000160,0.001986,0.000000,-0.189634,-0.029038,-0.160596,-0.271603,0.630784,0.243287,-0.603604,0.023988,-0.549647,0.181447,-166.142638,0.000000,0.000003,0.000000,6.000000,1.000000,5.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-3054.472834,0.005245,0.045867,0.000000,-0.189370,-0.032362,-0.157007,-0.372956,0.611235,0.224865,-0.590143,0.023446,-0.541736,0.180602,-3054.472969,0.005232,0.046498,0.000000,-0.189511,-0.032107,-0.157404,-0.368110,0.614990,0.228156,-0.591203,0.022515,-0.540788,0.180751,-3054.472693,0.005235,0.046439,0.000000,-0.189404,-0.032469,-0.156935,-0.371161,0.611421,0.224977,-0.590333,0.024492,-0.542252,0.180674,-166.142624,0.000504,2.067568,-6.6966,-8.7641,-0.466776,0.091353,0.118327,-0.437585,0.068453,-0.067650,0.033186,-166.142488,0.000449,2.067687,-6.6933,-8.7610,-0.464468,0.092080,0.118061,-0.438409,0.068241,-0.068071,0.033257,-166.142669,0.017322,2.067566,-6.6965,-8.7641,-0.466768,0.091354,0.118326,-0.437588,0.068453,-0.067645,0.033188,-166.142488,0.017596,2.067692,-6.6933,-8.7610,-0.464460,0.092083,0.118061,-0.438413,0.068239,-0.068066,0.033258
Xu02-1a-2a-minor,-3054.487953,0.000003,0.000029,0.000000,-0.187521,-0.031883,-0.155638,-0.292778,0.643365,0.240652,-0.587915,0.031796,-0.561528,0.172691,-3054.487953,0.000379,0.003248,0.000000,-0.187521,-0.031883,-0.155638,-0.292778,0.643365,0.240652,-0.587915,0.031796,-0.561528,0.172691,-166.137715,0.000002,0.000024,0.000000,6.000000,1.000000,5.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-3054.466881,0.004843,0.042198,0.000000,-0.188536,-0.038251,-0.150285,-0.439763,0.643513,0.220043,-0.569800,0.030339,-0.563187,0.172690,-3054.468143,0.004907,0.039316,0.000000,-0.189520,-0.033900,-0.155620,-0.358221,0.625000,0.233783,-0.578033,0.022879,-0.551183,0.175095,-3054.466818,0.004899,0.041597,0.000000,-0.188738,-0.036973,-0.151765,-0.359513,0.615507,0.227530,-0.568345,0.033071,-0.561568,0.172892,-166.137422,0.000355,2.047426,-6.7725,-8.8199,-0.450808,0.102422,0.092837,-0.419883,0.074374,-0.067175,0.034014,-166.136096,0.000296,2.060936,-6.7295,-8.7905,-0.438845,0.107688,0.098508,-0.422513,0.077095,-0.070646,0.034687,-166.137496,0.022805,2.047428,-6.7725,-8.8199,-0.450804,0.102426,0.092838,-0.419887,0.074369,-0.067167,0.034014,-166.136096,0.020123,2.060962,-6.7295,-8.7905,-0.438842,0.107692,0.098509,-0.422519,0.077092,-0.070638,0.034687
Xu02-7a-2a-major,-2859.334209,0.000001,0.000008,0.000000,-0.187779,-0.028543,-0.159237,-0.193255,0.595754,0.247725,-0.580253,0.025840,-0.561344,-0.193177,-2859.334209,0.000026,0.000254,0.000000,-0.187779,-0.028543,-0.159237,-0.193255,0.595755,0.247724,-0.580253,0.025840,-0.561344,-0.193177,-151.319924,0.000002,0.000018,0.000000,1.000000,6.000000,-5.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-2859.313903,0.005495,0.045740,0.000000,-0.187018,-0.030085,-0.156934,-0.309548,0.589957,0.220059,-0.560155,0.015903,-0.551568,-0.195029,-2859.317249,0.005395,0.045901,0.000000,-0.189463,-0.031133,-0.158330,-0.263594,0.595999,0.231542,-0.565369,0.020261,-0.560524,-0.195567,-2859.313940,0.005507,0.046245,0.000000,-0.187420,-0.030047,-0.157373,-0.312970,0.592188,0.220353,-0.561002,0.016327,-0.551040,-0.195004,-151.319887,0.000732,2.151094,-6.6928,-8.8439,-0.472511,0.094491,0.120853,-0.418818,0.074070,-0.072447,-0.031449,-151.316426,0.000336,2.177494,-6.7134,-8.8909,-0.455134,0.098835,0.120579,-0.419653,0.072319,-0.074383,-0.031672,-151.319931,0.016841,2.151059,-6.6928,-8.8439,-0.472513,0.094486,0.120852,-0.418820,0.074083,-0.072455,-0.031448,-151.316426,0.020290,2.177466,-6.7134,-8.8909,-0.455136,0.098833,0.120579,-0.419656,0.072331,-0.074388,-0.031668
Xu02-7a-2a-minor,-2859.331094,0.000002,0.000015,0.000000,-0.187993,-0.028320,-0.159673,-0.284008,0.647496,0.257871,-0.558005,0.028531,-0.569866,-0.191450,-2859.331094,0.000151,0.001361,0.000000,-0.187993,-0.028320,-0.159673,-0.284007,0.647495,0.257871,-0.558005,0.028531,-0.569866,-0.191450,-151.313119,0.000005,0.000033,0.000000,1.000000,6.000000,-5.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-2859.311938,0.005130,0.037361,0.000000,-0.188780,-0.030428,-0.158352,-0.341369,0.629623,0.218155,-0.542905,0.025796,-0.564823,-0.192824,-2859.312427,0.005128,0.038036,0.000000,-0.189004,-0.030106,-0.158897,-0.345789,0.639826,0.221084,-0.544091,0.026629,-0.561465,-0.193156,-2859.312159,0.005128,0.037528,0.000000,-0.188942,-0.030300,-0.158642,-0.340985,0.632083,0.217300,-0.543687,0.026611,-0.564926,-0.193171,-151.313127,0.000443,2.110952,-6.7542,-8.8652,-0.432928,0.109147,0.108344,-0.415016,0.079954,-0.073748,-0.031421,-151.312936,0.000448,2.110019,-6.7518,-8.8619,-0.428587,0.109551,0.108546,-0.414649,0.080404,-0.074622,-0.031443,-151.313174,0.017717,2.110966,-6.7542,-8.8652,-0.432929,0.109152,0.108344,-0.415019,0.079954,-0.073744,-0.031422,-151.312936,0.018472,2.110032,-6.7518,-8.8618,-0.428588,0.109555,0.108546,-0.414655,0.080403,-0.074616,-0.031443
Xu03-1a-2a-major,-3285.295064,0.000001,0.000008,0.000000,-0.189823,-0.030064,-0.159759,-0.272486,0.635232,0.241557,-0.604435,0.024713,-0.550014,0.238649,-3285.295064,0.000141,0.001771,0.000000,-0.189823,-0.030064,-0.159759,-0.272485,0.635232,0.241557,-0.604435,0.024713,-0.550014,0.238649,-181.031451,0.000001,0.000005,0.000000,1.000000,1.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-3285.275772,0.005079,0.045825,0.000000,-0.189645,-0.032481,-0.157163,-0.371365,0.613248,0.223561,-0.590400,0.023429,-0.541485,0.230514,-3285.275929,0.005067,0.046714,0.000000,-0.189573,-0.032290,-0.157283,-0.366488,0.615801,0.227099,-0.591763,0.022682,-0.540661,0.231007,-3285.275542,0.005061,0.046416,0.000000,-0.189444,-0.032664,-0.156780,-0.368799,0.612076,0.223724,-0.590439,0.024764,-0.542015,0.230396,-181.031409,0.000642,2.028904,-6.7374,-8.7663,-0.467129,0.091196,0.118930,-0.437378,0.068488,-0.067683,0.062503,-181.031261,0.000399,2.030225,-6.7351,-8.7653,-0.465068,0.092490,0.118379,-0.438377,0.068379,-0.067940,0.063148,-181.031456,0.017486,2.028889,-6.7374,-8.7663,-0.467128,0.091183,0.118935,-0.437382,0.068503,-0.067688,0.062506,-181.031261,0.017758,2.030184,-6.7351,-8.7653,-0.465059,0.092493,0.118379,-0.438382,0.068380,-0.067932,0.063149
Xu03-1a-2a-minor,-3285.291397,0.000001,0.000008,0.000000,-0.188019,-0.032459,-0.155560,-0.289313,0.644872,0.247941,-0.589209,0.031840,-0.561171,0.236615,-3285.291397,0.000365,0.003346,0.000000,-0.188019,-0.032459,-0.155560,-0.289311,0.644873,0.247940,-0.589209,0.031840,-0.561171,0.236614,-181.026395,0.000003,0.000039,0.000000,1.000000,1.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-3285.269653,0.004696,0.041549,0.000000,-0.188568,-0.038326,-0.150243,-0.438815,0.644076,0.221042,-0.569602,0.030382,-0.562785,0.221267,-3285.270665,0.004766,0.039729,0.000000,-0.189739,-0.034543,-0.155196,-0.357900,0.624446,0.234299,-0.576510,0.022987,-0.550738,0.225552,-3285.269760,0.004755,0.040946,0.000000,-0.188985,-0.036898,-0.152087,-0.360210,0.616815,0.230011,-0.568913,0.032820,-0.560389,0.218290,-181.026123,0.000414,2.046869,-6.7750,-8.8219,-0.450040,0.102629,0.095247,-0.419539,0.074652,-0.067550,0.059713,-181.024880,0.000359,2.050372,-6.7450,-8.7954,-0.440551,0.106716,0.099140,-0.421686,0.076987,-0.070041,0.063316,-181.026195,0.022647,2.046859,-6.7750,-8.8219,-0.450034,0.102634,0.095249,-0.419543,0.074649,-0.067541,0.059712,-181.024880,0.020390,2.050348,-6.7450,-8.7954,-0.440545,0.106719,0.099142,-0.421690,0.076986,-0.070033,0.063315
Xu03-7a-2a-major,-3090.137417,0.000001,0.000006,0.000000,-0.188047,-0.029383,-0.158664,-0.195099,0.605555,0.247185,-0.579890,0.025738,-0.562483,-0.222795,-3090.137417,0.000029,0.000349,0.000000,-0.188046,-0.029383,-0.158664,-0.195099,0.605554,0.247185,-0.579889,0.025738,-0.562483,-0.222794,-166.208505,0.000003,0.000034,0.000000,6.000000,1.000000,5.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.005309,0.046065,0.000000,-0.187153,-0.029843,-0.157310,-0.307674,0.592285,0.216326,-0.560153,0.016049,-0.550939,-0.223192,-3090.119589,0.005218,0.046236,0.000000,-0.189475,-0.031497,-0.157978,-0.261259,0.597600,0.229846,-0.566216,0.020205,-0.560845,-0.224398,-3090.116196,0.005315,0.046358,0.000000,-0.187568,-0.030062,-0.157506,-0.307569,0.591592,0.215236,-0.561265,0.016186,-0.550724,-0.224183,-166.208426,0.000622,2.104456,-6.7423,-8.8467,-0.473057,0.093784,0.121345,-0.418284,0.073947,-0.072241,-0.036479,-166.204823,0.000720,2.165168,-6.7365,-8.9016,-0.454861,0.099475,0.120136,-0.419735,0.072344,-0.074146,-0.036587,-166.208469,0.017052,2.104474,-6.7423,-8.8467,-0.473064,0.093778,0.121345,-0.418284,0.073960,-0.072249,-0.036474,-166.204823,0.020352,2.165179,-6.7365,-8.9016,-0.454865,0.099471,0.120136,-0.419739,0.072359,-0.074151,-0.036581
Xu03-7a-2a-minor,-3090.134705,0.000003,0.000026,0.000000,-0.188117,-0.029432,-0.158686,-0.280643,0.668781,0.257709,-0.561920,0.032478,-0.571558,-0.215935,-3090.134705,0.000179,0.002262,0.000000,-0.188117,-0.029432,-0.158686,-0.280642,0.668781,0.257709,-0.561919,0.032478,-0.571558,-0.215935,-166.201576,0.000003,0.000021,0.000000,6.000000,1.000000,5.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-3090.114371,0.004957,0.037490,0.000000,-0.188866,-0.030808,-0.158059,-0.341885,0.630715,0.218224,-0.542813,0.025832,-0.564824,-0.218030,-3090.114937,0.004955,0.037688,0.000000,-0.188992,-0.030440,-0.158552,-0.343678,0.638564,0.219996,-0.544532,0.026525,-0.561489,-0.217514,-3090.114644,0.004970,0.037564,0.000000,-0.188819,-0.030753,-0.158066,-0.339592,0.633143,0.217511,-0.543534,0.026761,-0.564665,-0.217749,-166.201566,0.000462,2.102224,-6.7652,-8.8674,-0.432090,0.108417,0.108944,-0.414773,0.079998,-0.073739,-0.036345,-166.201400,0.000351,2.096455,-6.7649,-8.8613,-0.428308,0.108741,0.109395,-0.414897,0.080322,-0.074508,-0.036342,-166.201614,0.017858,2.102181,-6.7652,-8.8674,-0.432091,0.108420,0.108944,-0.414774,0.080005,-0.073744,-0.036341,-166.201400,0.018761,2.096419,-6.7649,-8.8613,-0.428310,0.108745,0.109395,-0.414900,0.080327,-0.074510,-0.036340
Xu04-1a-2a-major,-3483.029171,0.000002,0.000021,0.000000,-0.190454,-0.026226,-0.164227,-0.317748,0.678938,0.249223,-0.614109,0.024278,-0.547146,0.160570,-3483.029171,0.000352,0.004244,0.000000,-0.190454,-0.026227,-0.164227,-0.317749,0.678939,0.249223,-0.614110,0.024277,-0.547146,0.160570,-198.689354,0.000002,0.000017,0.000000,1.000000,1.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-3483.006834,0.005194,0.048640,0.000000,-0.186731,-0.026998,-0.159733,-0.449916,0.601812,0.242702,-0.580045,0.013676,-0.530332,0.163838,-3483.005502,0.004943,0.046826,0.000000,-0.188736,-0.030633,-0.158103,-0.406533,0.615905,0.255386,-0.584246,0.018867,-0.539694,0.163277,-3483.007005,0.004947,0.045609,0.000000,-0.188501,-0.029373,-0.159129,-0.383824,0.620634,0.234479,-0.586191,0.023255,-0.537395,0.163118,-198.683453,0.000406,2.033190,-6.6626,-8.6958,-0.459622,0.095371,0.111422,-0.437144,0.070769,-0.070485,0.030116,-198.681563,0.000702,2.044876,-6.6750,-8.7199,-0.465751,0.097055,0.110597,-0.440724,0.066248,-0.068764,0.030111,-198.683501,0.017936,2.033192,-6.6626,-8.6958,-0.459613,0.095364,0.111426,-0.437150,0.070784,-0.070488,0.030117,-198.681563,0.019158,2.044897,-6.6750,-8.7199,-0.465744,0.097058,0.110597,-0.440729,0.066243,-0.068756,0.030113
Xu04-1a-2a-minor,-3483.026366,0.000004,0.000063,0.000000,-0.186302,-0.031653,-0.154648,-0.293588,0.638058,0.228637,-0.588083,0.031189,-0.565103,0.183569,-3483.026366,0.000342,0.003449,0.000000,-0.186301,-0.031653,-0.154648,-0.293588,0.638058,0.228637,-0.588085,0.031189,-0.565103,0.183569,-198.686309,0.000002,0.000025,0.000000,1.000000,1.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-3483.000856,0.004653,0.044546,0.000000,-0.184079,-0.038438,-0.145642,-0.372173,0.582338,0.210294,-0.586454,0.032577,-0.560865,0.180162,-3483.000257,0.004744,0.040106,0.000000,-0.189442,-0.033058,-0.156384,-0.293938,0.613712,0.238331,-0.598285,0.023774,-0.559014,0.169024,-3483.001189,0.004667,0.044415,0.000000,-0.184667,-0.038217,-0.146450,-0.378432,0.583624,0.210606,-0.585750,0.033163,-0.561676,0.180183,-198.686339,0.000600,1.983318,-6.8063,-8.7896,-0.450904,0.096190,0.072442,-0.426198,0.073833,-0.062057,0.033510,-198.677018,0.000396,2.017526,-6.7342,-8.7517,-0.422693,0.114147,0.096406,-0.429051,0.078001,-0.074221,0.032747,-198.686423,0.024302,1.983298,-6.8063,-8.7896,-0.450901,0.096195,0.072443,-0.426208,0.073828,-0.062038,0.033514,-198.677018,0.022486,2.017452,-6.7342,-8.7517,-0.422689,0.114148,0.096410,-0.429056,0.078018,-0.074227,0.032749
